timestamp,event,task_id,task_name,task_graph_id
1748486497,TASK_SUBMITTED,MCAGraphObject://0/12164/1,exp_04_02_02_02_03_n100_c18_14,MCAGraphObject://0/12164
1748486500,TASK_STARTED,MCAGraphObject://0/12164/1,exp_04_02_02_02_03_n100_c18_14,MCAGraphObject://0/12164
1748486539,TASK_TERMINATED,MCAGraphObject://0/12164/1,exp_04_02_02_02_03_n100_c18_14,MCAGraphObject://0/12164
1748486541,TASK_SUBMITTED,MCAGraphObject://0/13803,MCAGraphObject://0/13803,
1748486541,TASK_SUBMITTED,MCAGraphObject://0/13803/1,exp_04_02_02_02_03_n100_c18_15,MCAGraphObject://0/13803
1748486543,TASK_STARTED,MCAGraphObject://0/13803/1,exp_04_02_02_02_03_n100_c18_15,MCAGraphObject://0/13803
1748486558,TASK_SUBMITTED,MCAGraphObject://0/14322,MCAGraphObject://0/14322,
1748486558,TASK_SUBMITTED,MCAGraphObject://0/14322/1,exp_04_02_02_02_03_n100_c18_16,MCAGraphObject://0/14322
1748486561,TASK_STARTED,MCAGraphObject://0/14322/1,exp_04_02_02_02_03_n100_c18_16,MCAGraphObject://0/14322
1748486563,TASK_TERMINATED,MCAGraphObject://0/14322/1,exp_04_02_02_02_03_n100_c18_16,MCAGraphObject://0/14322
1748486566,TASK_SUBMITTED,MCAGraphObject://0/15497,MCAGraphObject://0/15497,
1748486566,TASK_SUBMITTED,MCAGraphObject://0/15497/1,exp_04_02_02_02_03_n100_c18_17,MCAGraphObject://0/15497
1748486569,TASK_STARTED,MCAGraphObject://0/15497/1,exp_04_02_02_02_03_n100_c18_17,MCAGraphObject://0/15497
1748486581,TASK_TERMINATED,MCAGraphObject://0/15497/1,exp_04_02_02_02_03_n100_c18_17,MCAGraphObject://0/15497
1748486642,TASK_SUBMITTED,MCAGraphObject://0/16672,MCAGraphObject://0/16672,
1748486642,TASK_SUBMITTED,MCAGraphObject://0/16672/1,exp_04_02_02_02_03_n100_c18_18,MCAGraphObject://0/16672
1748486646,TASK_STARTED,MCAGraphObject://0/16672/1,exp_04_02_02_02_03_n100_c18_18,MCAGraphObject://0/16672
1748486690,TASK_TERMINATED,MCAGraphObject://0/16672/1,exp_04_02_02_02_03_n100_c18_18,MCAGraphObject://0/16672
1748486694,TASK_SUBMITTED,MCAGraphObject://0/18092,MCAGraphObject://0/18092,
1748486694,TASK_SUBMITTED,MCAGraphObject://0/18092/1,exp_04_02_02_02_03_n100_c18_19,MCAGraphObject://0/18092
1748486785,TASK_SUBMITTED,MCAGraphObject://0/18097,MCAGraphObject://0/18097,
1748486785,TASK_SUBMITTED,MCAGraphObject://0/18097/1,exp_04_02_02_02_03_n100_c18_20,MCAGraphObject://0/18097
1748486788,TASK_SUBMITTED,MCAGraphObject://0/18612,MCAGraphObject://0/18612,
1748486788,TASK_SUBMITTED,MCAGraphObject://0/18612/1,exp_04_02_02_02_03_n100_c18_21,MCAGraphObject://0/18612
1748486788,TASK_STARTED,MCAGraphObject://0/18097/1,exp_04_02_02_02_03_n100_c18_20,MCAGraphObject://0/18097
1748486790,TASK_STARTED,MCAGraphObject://0/18612/1,exp_04_02_02_02_03_n100_c18_21,MCAGraphObject://0/18612
1748486800,TASK_TERMINATED,MCAGraphObject://0/18097/1,exp_04_02_02_02_03_n100_c18_20,MCAGraphObject://0/18097
1748486836,TASK_SUBMITTED,MCAGraphObject://0/19080,MCAGraphObject://0/19080,
1748486836,TASK_SUBMITTED,MCAGraphObject://0/19080/1,exp_04_02_02_02_03_n100_c18_22,MCAGraphObject://0/19080
1748486838,TASK_STARTED,MCAGraphObject://0/19080/1,exp_04_02_02_02_03_n100_c18_22,MCAGraphObject://0/19080
1748486849,TASK_SUBMITTED,MCAGraphObject://0/19151,MCAGraphObject://0/19151,
1748486849,TASK_SUBMITTED,MCAGraphObject://0/19151/1,exp_04_02_02_02_03_n100_c18_23,MCAGraphObject://0/19151
1748486852,TASK_STARTED,MCAGraphObject://0/19151/1,exp_04_02_02_02_03_n100_c18_23,MCAGraphObject://0/19151
1748486862,TASK_TERMINATED,MCAGraphObject://0/11128/1,exp_04_02_02_02_03_n100_c18_13,MCAGraphObject://0/11128
1748486913,TASK_TERMINATED,MCAGraphObject://0/13803/1,exp_04_02_02_02_03_n100_c18_15,MCAGraphObject://0/13803
1748486915,TASK_STARTED,MCAGraphObject://0/18092/1,exp_04_02_02_02_03_n100_c18_19,MCAGraphObject://0/18092
1748486953,TASK_SUBMITTED,MCAGraphObject://0/21454,MCAGraphObject://0/21454,
1748486953,TASK_SUBMITTED,MCAGraphObject://0/21454/1,exp_04_02_02_02_03_n100_c18_24,MCAGraphObject://0/21454
1748486959,TASK_STARTED,MCAGraphObject://0/21454/1,exp_04_02_02_02_03_n100_c18_24,MCAGraphObject://0/21454
1748486975,TASK_TERMINATED,MCAGraphObject://0/21454/1,exp_04_02_02_02_03_n100_c18_24,MCAGraphObject://0/21454
1748486982,TASK_TERMINATED,MCAGraphObject://0/18092/1,exp_04_02_02_02_03_n100_c18_19,MCAGraphObject://0/18092
1748487010,TASK_SUBMITTED,MCAGraphObject://0/22941,MCAGraphObject://0/22941,
1748487010,TASK_SUBMITTED,MCAGraphObject://0/22941/1,exp_04_02_02_02_03_n100_c18_25,MCAGraphObject://0/22941
1748487014,TASK_STARTED,MCAGraphObject://0/22941/1,exp_04_02_02_02_03_n100_c18_25,MCAGraphObject://0/22941
1748487016,TASK_TERMINATED,MCAGraphObject://0/22941/1,exp_04_02_02_02_03_n100_c18_25,MCAGraphObject://0/22941
1748487089,TASK_TERMINATED,MCAGraphObject://0/18612/1,exp_04_02_02_02_03_n100_c18_21,MCAGraphObject://0/18612
1748487116,TASK_SUBMITTED,MCAGraphObject://0/24640,MCAGraphObject://0/24640,
1748487116,TASK_SUBMITTED,MCAGraphObject://0/24640/1,exp_04_02_02_02_03_n100_c18_26,MCAGraphObject://0/24640
1748487123,TASK_STARTED,MCAGraphObject://0/24640/1,exp_04_02_02_02_03_n100_c18_26,MCAGraphObject://0/24640
1748487127,TASK_SUBMITTED,MCAGraphObject://0/25155,MCAGraphObject://0/25155,
1748487127,TASK_SUBMITTED,MCAGraphObject://0/25155/1,exp_04_02_02_02_03_n100_c18_27,MCAGraphObject://0/25155
1748487132,TASK_STARTED,MCAGraphObject://0/25155/1,exp_04_02_02_02_03_n100_c18_27,MCAGraphObject://0/25155
1748487132,TASK_SUBMITTED,MCAGraphObject://0/25678,MCAGraphObject://0/25678,
1748487132,TASK_SUBMITTED,MCAGraphObject://0/25678/1,exp_04_02_02_02_03_n100_c18_28,MCAGraphObject://0/25678
1748487138,TASK_STARTED,MCAGraphObject://0/25678/1,exp_04_02_02_02_03_n100_c18_28,MCAGraphObject://0/25678
1748487168,TASK_TERMINATED,MCAGraphObject://0/19080/1,exp_04_02_02_02_03_n100_c18_22,MCAGraphObject://0/19080
1748487179,TASK_TERMINATED,MCAGraphObject://0/24640/1,exp_04_02_02_02_03_n100_c18_26,MCAGraphObject://0/24640
1748487185,TASK_TERMINATED,MCAGraphObject://0/25678/1,exp_04_02_02_02_03_n100_c18_28,MCAGraphObject://0/25678
1748487201,TASK_SUBMITTED,MCAGraphObject://0/28179,MCAGraphObject://0/28179,
1748487201,TASK_SUBMITTED,MCAGraphObject://0/28179/1,exp_04_02_02_02_03_n100_c18_29,MCAGraphObject://0/28179
1748487207,TASK_STARTED,MCAGraphObject://0/28179/1,exp_04_02_02_02_03_n100_c18_29,MCAGraphObject://0/28179
1748487225,TASK_TERMINATED,MCAGraphObject://0/25155/1,exp_04_02_02_02_03_n100_c18_27,MCAGraphObject://0/25155
1748487227,TASK_TERMINATED,MCAGraphObject://0/28179/1,exp_04_02_02_02_03_n100_c18_29,MCAGraphObject://0/28179
1748487242,TASK_SUBMITTED,MCAGraphObject://0/29370,MCAGraphObject://0/29370,
1748487242,TASK_SUBMITTED,MCAGraphObject://0/29370/1,exp_04_02_02_02_03_n100_c18_30,MCAGraphObject://0/29370
1748487243,TASK_STARTED,MCAGraphObject://0/29370/1,exp_04_02_02_02_03_n100_c18_30,MCAGraphObject://0/29370
1748487249,TASK_TERMINATED,MCAGraphObject://0/19151/1,exp_04_02_02_02_03_n100_c18_23,MCAGraphObject://0/19151
1748487297,TASK_TERMINATED,MCAGraphObject://0/29370/1,exp_04_02_02_02_03_n100_c18_30,MCAGraphObject://0/29370
1748487334,TASK_SUBMITTED,MCAGraphObject://0/29953,MCAGraphObject://0/29953,
1748487334,TASK_SUBMITTED,MCAGraphObject://0/29953/1,exp_04_02_02_02_03_n100_c18_31,MCAGraphObject://0/29953
1748487337,TASK_STARTED,MCAGraphObject://0/29953/1,exp_04_02_02_02_03_n100_c18_31,MCAGraphObject://0/29953
1748487341,TASK_SUBMITTED,MCAGraphObject://0/30536,MCAGraphObject://0/30536,
1748487341,TASK_SUBMITTED,MCAGraphObject://0/30536/1,exp_04_02_02_02_03_n100_c18_32,MCAGraphObject://0/30536
1748487346,TASK_STARTED,MCAGraphObject://0/30536/1,exp_04_02_02_02_03_n100_c18_32,MCAGraphObject://0/30536
1748487386,TASK_TERMINATED,MCAGraphObject://0/29953/1,exp_04_02_02_02_03_n100_c18_31,MCAGraphObject://0/29953
1748487445,TASK_SUBMITTED,MCAGraphObject://0/31898,MCAGraphObject://0/31898,
1748487445,TASK_SUBMITTED,MCAGraphObject://0/31898/1,exp_04_02_02_02_03_n100_c18_33,MCAGraphObject://0/31898
1748487449,TASK_TERMINATED,MCAGraphObject://0/30536/1,exp_04_02_02_02_03_n100_c18_32,MCAGraphObject://0/30536
1748487450,TASK_STARTED,MCAGraphObject://0/31898/1,exp_04_02_02_02_03_n100_c18_33,MCAGraphObject://0/31898
1748487452,TASK_TERMINATED,MCAGraphObject://0/31898/1,exp_04_02_02_02_03_n100_c18_33,MCAGraphObject://0/31898
