timestamp,event,id,task_id,size,model,model_params,ts+size*tp
1748486153,SET_DEFINED,MCAGraphObject://0/2272/536,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/537,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/538,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/539,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/540,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/541,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/542,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/543,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/544,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/545,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/546,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/547,MCAGraphObject://0/2271/1,16,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/549,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/550,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/551,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/552,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/553,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/554,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/555,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/556,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/557,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/558,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/559,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/560,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/561,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/562,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/563,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486153,SET_DEFINED,MCAGraphObject://0/2272/564,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/566,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/567,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/568,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/569,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/570,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/571,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/572,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/573,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/574,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/575,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/576,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/577,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/578,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/579,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/580,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/581,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/583,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/584,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/585,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/586,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/587,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/588,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/589,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/590,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/591,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/592,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/593,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/594,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
1748486154,SET_DEFINED,MCAGraphObject://0/2272/595,MCAGraphObject://0/2271/1,1,AMDAHL_PSET_MODEL,"{'t_s': 0.10022271714922047, 't_p': 404.8997772828508}",
